Timestamp,ACC_X,ACC_Y,ACC_Z,BVP,EDA,Condition
1566233475000.0,-12,37,54,-0.0,0.0,0
1566233475250.0,-12,34,58,-0.05,0.05123200000000001,0
1566233475500.0,-12,31,54,6.2,0.08069,0
1566233475750.0,-7,29,56,22.9,0.07044299999999999,0
1566233476000.0,-16,14,62,93.76,0.087094,0
1566233476250.0,-18,7,61,208.53,0.085813,0
1566233476500.0,-5,5,66,-537.23,0.083251,0
1566233476750.0,-15,5,65,71.43,0.037143,0
1566233477000.0,-22,-8,57,141.3,0.09734,0
1566233477250.0,-34,-4,65,37.59,0.03202,0
1566233477500.0,-30,3,56,2.64,0.030739,0
1566233477750.0,-50,1,41,0.69,0.034581,0
1566233478000.0,-61,5,19,2.75,0.098621,0
1566233478250.0,-45,4,33,11.6,0.056354999999999995,0
1566233478500.0,-47,18,61,21.5,0.038424,0
1566233478750.0,-53,17,32,-6.16,0.07044299999999999,0
1566233479000.0,-60,14,22,7.62,0.07940900000000001,0
1566233479250.0,-54,13,35,47.14,0.047389,0
1566233479500.0,-9,16,76,133.79,0.05123200000000001,0
1566233479750.0,-75,28,14,-56.65,0.037143,0
1566233480000.0,-32,-2,39,7.56,0.053792999999999994,0
1566233480250.0,-69,19,10,-225.82,0.06788200000000001,0
1566233480500.0,-69,10,9,-97.5,0.074286,0
1566233480750.0,-60,9,14,259.74,0.08069,0
1566233481000.0,-67,5,14,-320.17,0.08069,0
1566233481250.0,-72,9,8,443.7,0.07044299999999999,0
1566233481500.0,-69,4,1,74.26,0.06532,0
1566233481750.0,-48,18,-8,-432.04,0.03202,0
1566233482000.0,1,54,-67,-229.32,0.035862,0
1566233482250.0,-3,29,-53,74.19,0.049951,0
1566233482500.0,10,32,-41,147.49,0.069163,0
1566233482750.0,0,26,-53,106.35,0.06532,0
1566233483000.0,-13,21,-56,-158.19,0.066601,0
1566233483250.0,-14,28,-47,124.77,0.066601,0
1566233483500.0,-1,32,-52,299.16,0.055074,0
1566233483750.0,-14,33,-45,32.53,0.08069,0
1566233484000.0,-33,32,-51,-130.11,0.06404,0
1566233484250.0,-44,26,-20,143.36,0.039704,0
1566233484500.0,-47,31,-30,131.58,0.052512,0
1566233484750.0,-50,60,-44,-175.71,0.040985,0
1566233485000.0,-32,33,-21,105.26,0.042266000000000005,0
1566233485250.0,-37,29,-45,115.54,0.06532,0
1566233485500.0,-34,22,-35,136.61,0.066601,0
1566233485750.0,-38,33,-50,-22.02,0.056354999999999995,0
1566233486000.0,-37,37,-42,-32.2,0.069163,0
1566233486250.0,-24,19,-46,30.51,0.07044299999999999,0
1566233486500.0,-55,28,-35,-514.55,0.052512,0
1566233486750.0,-27,28,-44,15.26,0.099902,0
1566233487000.0,-76,29,-44,460.67,0.060197,0
1566233487250.0,-51,39,16,180.13,0.023053999999999998,0
1566233487500.0,-36,38,31,-144.21,0.026897000000000004,0
1566233487750.0,-29,38,31,-491.79,0.075567,0
1566233488000.0,-34,41,33,253.58,0.07044299999999999,0
1566233488250.0,-43,41,22,-198.88,0.023053999999999998,0
1566233488500.0,-33,42,35,216.4,0.06788200000000001,0
1566233488750.0,-47,31,13,-95.98,0.030739,0
1566233489000.0,-60,45,17,139.92,0.034581,0
1566233489250.0,-36,31,38,-54.21,0.03202,0
1566233489500.0,-45,33,38,-3.44,0.019212,0
1566233489750.0,-48,38,39,-89.07,0.020493,0
1566233490000.0,-42,34,40,-18.41,0.017931,0
1566233490250.0,-39,32,40,-157.7,0.015368999999999999,0
1566233490500.0,-40,36,40,225.85,0.01665,0
1566233490750.0,-38,37,40,67.82,0.01665,0
1566233491000.0,-36,38,40,-112.17,0.019212,0
